132,-2,8,1.0,1
151,10,-15,1.0,2
140,3,-5,1.0,3
154,11,-16,1.0,1
155,11,-15,1.0,3
161,16,11,1.0,1
131,-2,0,1.0,3
169,19,10,1.0,3
122,-6,1,1.0,1
125,-5,3,1.0,2
112,-11,2,1.0,3
141,4,-8,1.0,2
41,-40,-40,1.0,3
216,46,3,1.0,2
210,45,0,1.0,3
25,-45,-45,1.0,2
207,44,-3,1.0,1
2,-50,-40,1.0,2
205,43,-10,1.0,2
194,37,-10,1.0,3
30,-44,-39,1.0,2
123,-6,15,1.0,2
191,35,-6,1.0,2
119,-7,16,1.0,3
198,39,-2,1.0,2
37,-41,-30,1.0,2
195,37,0,1.0,3
60,-33,-30,1.0,2
209,45,-7,1.0,2
58,-34,-27,1.0,3
220,47,-9,1.0,2
52,-37,-27,1.0,2
42,-40,-27,1.0,2
206,43,-1,1.0,2
31,-44,-29,1.0,1
203,42,0,1.0,2
102,-14,0,1.0,3
204,42,16,1.0,2
139,3,-20,1.0,2
55,-35,-46,1.0,2
199,39,20,1.0,2
50,-37,-40,1.0,1
49,-37,-46,1.0,2
39,-40,-50,1.0,2
93,-18,27,1.0,2
40,-40,-44,1.0,2
148,8,26,1.0,2
64,-32,28,1.0,1
145,6,20,1.0,2
19,-46,-26,1.0,2
32,-44,-26,1.0,3
150,10,-16,1.0,2
22,-46,28,1.0,1
51,-37,-36,1.0,3
174,22,28,1.0,2
173,22,24,1.0,3
16,-47,18,1.0,1
157,14,17,1.0,2
9,-48,-38,1.0,3
160,16,8,1.0,2
63,-32,19,1.0,2
18,-46,-28,1.0,1
47,-39,25,1.0,2
26,-45,-17,1.0,2
170,19,16,1.0,2
179,27,-41,1.0,2
27,-45,-10,1.0,2
28,-45,-7,1.0,2
188,35,-38,1.0,2
187,33,17,1.0,2
54,-36,-11,1.0,3
104,-14,28,1.0,2
213,46,-34,1.0,2
219,47,-37,1.0,2
184,29,28,1.0,2
98,-16,24,1.0,2
212,46,-38,1.0,3
34,-43,-11,1.0,2
176,25,25,1.0,2
217,47,-47,1.0,1
89,-22,25,1.0,2
211,46,-46,1.0,2
218,47,-46,1.0,2
192,35,28,1.0,2
6,-49,-18,1.0,3
74,-29,20,1.0,1
202,41,27,1.0,2
196,37,24,1.0,2
221,47,21,1.0,3
17,-47,21,1.0,3
177,26,-46,1.0,2
4,-50,24,1.0,2
225,48,24,1.0,2
59,-34,18,1.0,3
106,-13,-18,1.0,3
56,-35,10,1.0,2
224,48,2,1.0,2
44,-40,5,1.0,2
105,-13,-27,1.0,2
46,-39,8,1.0,3
35,-43,9,1.0,2
200,40,-32,1.0,3
201,41,-27,1.0,3
99,-15,-41,1.0,3
36,-43,19,1.0,1
111,-11,-38,1.0,2
94,-17,-42,1.0,2
182,29,-21,1.0,3
23,-46,29,1.0,2
97,-16,-42,1.0,2
178,26,-23,1.0,1
12,-48,25,1.0,2
5,-50,27,1.0,3
70,-30,-29,1.0,2
71,-30,-25,1.0,2
72,-30,17,1.0,3
53,-36,-43,1.0,2
110,-12,20,1.0,2
66,-31,-39,1.0,1
45,-39,-37,1.0,2
153,11,-28,1.0,2
135,0,11,1.0,3
138,2,-28,1.0,2
29,-44,-48,1.0,3
24,-45,-49,1.0,2
133,-1,-42,1.0,3
137,2,-49,1.0,1
96,-17,28,1.0,3
149,9,-47,1.0,2
92,-18,22,1.0,2
144,6,-44,1.0,3
88,-22,18,1.0,1
15,-47,-22,1.0,2
14,-47,-25,1.0,2
67,-31,22,1.0,3
20,-46,-20,1.0,1
175,24,-44,1.0,2
158,15,-35,1.0,2
75,-28,28,1.0,1
147,8,-37,1.0,2
38,-41,-21,1.0,2
164,18,-40,1.0,2
48,-38,13,1.0,2
171,22,-38,1.0,2
62,-32,15,1.0,3
193,36,-44,1.0,3
21,-46,-19,1.0,2
10,-48,-20,1.0,1
186,33,-33,1.0,2
33,-43,-33,1.0,2
127,-5,28,1.0,2
185,32,-37,1.0,2
126,-5,25,1.0,2
136,0,25,1.0,3
1,-50,-43,1.0,2
8,-48,-43,1.0,2
142,4,27,1.0,1
190,35,-14,1.0,2
197,38,-14,1.0,2
65,-31,-49,1.0,2
81,-24,-50,1.0,2
76,-26,-50,1.0,2
189,35,-30,1.0,2
180,29,-37,1.0,2
95,-17,12,1.0,1
13,-47,-46,1.0,2
181,29,-33,1.0,2
83,-24,2,1.0,2
82,-24,-4,1.0,1
172,22,-30,1.0,4
146,7,-22,1.0,3
69,-30,-34,1.0,1
143,5,-17,1.0,1
68,-30,-42,1.0,2
78,-25,-42,1.0,1
114,-10,24,1.0,2
117,-8,27,1.0,2
85,-22,-48,1.0,2
90,-20,8,1.0,2
87,-22,1,1.0,2
86,-22,-4,1.0,4
61,-32,-8,1.0,2
115,-9,-13,1.0,2
107,-13,-13,1.0,2
84,-23,-1,1.0,3
80,-25,-1,1.0,2
11,-48,-2,1.0,3
77,-26,2,1.0,1
91,-18,-11,1.0,3
3,-50,-3,1.0,2
