145,6,20,1.0,2
148,8,26,1.0,2
157,14,17,1.0,2
161,16,11,1.0,1
174,22,28,1.0,2
170,19,16,1.0,2
173,22,24,1.0,3
160,16,8,1.0,2
169,19,10,1.0,3
176,25,25,1.0,2
192,35,28,1.0,2
184,29,28,1.0,2
202,41,27,1.0,2
225,48,24,1.0,2
196,37,24,1.0,2
221,47,21,1.0,3
199,39,20,1.0,2
187,33,17,1.0,2
204,42,16,1.0,2
220,47,-9,1.0,2
205,43,-10,1.0,2
194,37,-10,1.0,3
216,46,3,1.0,2
224,48,2,1.0,2
210,45,0,1.0,3
206,43,-1,1.0,2
203,42,0,1.0,2
195,37,0,1.0,3
207,44,-3,1.0,1
198,39,-2,1.0,2
191,35,-6,1.0,2
209,45,-7,1.0,2
